https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1641441600000,2022-01-06 04:00:00,BNB/USDT,465.190,467.970,461.500,466.300,75536.01,35094833.08840,43280
1641438000000,2022-01-06 03:00:00,BNB/USDT,465.880,469.670,464.230,465.070,74360.24,34721675.01510,35993
1641434400000,2022-01-06 02:00:00,BNB/USDT,469.570,470.580,465.110,465.980,63946.94,29924816.49340,37199
1641430800000,2022-01-06 01:00:00,BNB/USDT,472.680,473.590,467.220,469.640,57291.01,26968727.36125,31727
1641427200000,2022-01-06 00:00:00,BNB/USDT,474.000,475.700,468.760,472.670,103053.42,48646935.55130,45433
1641423600000,2022-01-05 23:00:00,BNB/USDT,475.880,478.410,472.060,473.950,90366.78,42981963.87160,46053
1641420000000,2022-01-05 22:00:00,BNB/USDT,480.860,483.550,456.200,475.950,251248.75,118387767.92488,129160
1641416400000,2022-01-05 21:00:00,BNB/USDT,484.870,488.970,480.000,480.880,94601.50,45759888.07401,53088
1641412800000,2022-01-05 20:00:00,BNB/USDT,492.510,494.690,480.720,484.860,242724.14,118368360.77359,106361
1641409200000,2022-01-05 19:00:00,BNB/USDT,507.700,508.940,491.000,492.520,203625.57,101511999.57717,92859
1641405600000,2022-01-05 18:00:00,BNB/USDT,506.910,509.680,504.000,507.700,80913.38,40967428.05010,44245
1641402000000,2022-01-05 17:00:00,BNB/USDT,511.190,512.390,506.610,506.860,35932.21,18303609.29053,21662
1641398400000,2022-01-05 16:00:00,BNB/USDT,512.430,512.720,510.790,511.190,23667.03,12113322.17000,19494
1641394800000,2022-01-05 15:00:00,BNB/USDT,512.560,513.530,510.690,512.430,28971.89,14843577.27310,20230
1641391200000,2022-01-05 14:00:00,BNB/USDT,512.610,513.310,509.650,512.560,41341.92,21154340.09900,24617
1641387600000,2022-01-05 13:00:00,BNB/USDT,510.980,512.780,510.030,512.610,27282.45,13954176.52740,20070
1641384000000,2022-01-05 12:00:00,BNB/USDT,511.650,512.300,508.620,510.990,36266.16,18506797.13530,24612
1641380400000,2022-01-05 11:00:00,BNB/USDT,514.480,514.880,509.720,511.660,42011.90,21502642.88370,29153
1641376800000,2022-01-05 10:00:00,BNB/USDT,514.660,515.920,513.620,514.470,28669.77,14761208.65200,22639
1641373200000,2022-01-05 09:00:00,BNB/USDT,513.820,515.540,513.150,514.660,26167.60,13456815.68136,17624
1641369600000,2022-01-05 08:00:00,BNB/USDT,513.310,514.410,511.440,513.850,28147.47,14440377.51860,17267
1641366000000,2022-01-05 07:00:00,BNB/USDT,513.600,514.440,512.670,513.300,18426.70,9461218.36660,16221
1641362400000,2022-01-05 06:00:00,BNB/USDT,512.160,513.690,511.710,513.600,20979.15,10758355.91770,15255
1641358800000,2022-01-05 05:00:00,BNB/USDT,512.320,512.350,511.020,512.160,12750.20,6524406.58950,10421
1641355200000,2022-01-05 04:00:00,BNB/USDT,512.100,512.700,511.210,512.310,18507.12,9475099.31400,17837
1641351600000,2022-01-05 03:00:00,BNB/USDT,511.830,513.320,511.510,512.100,18030.22,9237274.76880,14824
1641348000000,2022-01-05 02:00:00,BNB/USDT,509.900,512.490,509.830,511.820,21652.87,11074881.11670,16255
1641344400000,2022-01-05 01:00:00,BNB/USDT,510.010,511.870,509.120,509.900,24997.27,12754025.82510,21515
1641340800000,2022-01-05 00:00:00,BNB/USDT,506.880,510.410,505.500,510.010,33465.59,17000509.89030,22728
1641337200000,2022-01-04 23:00:00,BNB/USDT,509.940,509.940,506.010,506.880,32175.47,16352272.64100,21028
1641333600000,2022-01-04 22:00:00,BNB/USDT,511.150,511.240,508.030,509.940,17025.55,8679816.20010,13614
1641330000000,2022-01-04 21:00:00,BNB/USDT,510.980,511.840,510.170,511.150,15735.23,8042089.90370,13656
1641326400000,2022-01-04 20:00:00,BNB/USDT,509.790,512.520,509.200,510.980,28285.45,14462794.49130,21785
1641322800000,2022-01-04 19:00:00,BNB/USDT,507.610,512.860,505.520,509.790,62545.75,31902751.19950,40245
1641319200000,2022-01-04 18:00:00,BNB/USDT,513.790,515.660,505.790,507.650,75002.24,38245885.01523,43665
1641315600000,2022-01-04 17:00:00,BNB/USDT,515.100,516.780,513.590,513.780,33371.22,17203545.84800,18866
1641312000000,2022-01-04 16:00:00,BNB/USDT,515.350,515.990,512.750,515.110,56371.94,28994017.58610,28980
1641308400000,2022-01-04 15:00:00,BNB/USDT,518.300,519.820,514.580,515.330,52723.33,27293927.28320,32312
1641304800000,2022-01-04 14:00:00,BNB/USDT,517.290,519.850,516.280,518.310,50893.24,26362219.15340,32203
1641301200000,2022-01-04 13:00:00,BNB/USDT,515.930,518.000,513.570,517.240,44723.63,23077471.97950,30971
1641297600000,2022-01-04 12:00:00,BNB/USDT,515.300,517.000,512.330,515.930,57369.74,29518487.31560,33361
1641294000000,2022-01-04 11:00:00,BNB/USDT,513.720,515.540,513.050,515.300,53819.86,27693737.14716,30676
1641290400000,2022-01-04 10:00:00,BNB/USDT,510.820,514.450,510.030,513.730,37015.71,18970306.54670,28030
1641286800000,2022-01-04 09:00:00,BNB/USDT,512.020,512.590,510.000,510.820,26335.62,13465689.37600,24682
1641283200000,2022-01-04 08:00:00,BNB/USDT,512.310,513.500,511.090,512.030,35855.04,18373321.17390,26450
1641279600000,2022-01-04 07:00:00,BNB/USDT,510.390,512.440,510.100,512.340,34008.76,17393299.71760,23577
1641276000000,2022-01-04 06:00:00,BNB/USDT,508.800,510.480,507.600,510.400,24949.40,12712918.83610,19617
1641272400000,2022-01-04 05:00:00,BNB/USDT,507.680,510.320,506.360,508.800,32572.22,16554839.12780,22145
1641268800000,2022-01-04 04:00:00,BNB/USDT,509.290,510.690,507.320,507.690,32105.41,16336720.56850,25763
1641265200000,2022-01-04 03:00:00,BNB/USDT,505.620,510.650,504.220,509.290,43004.36,21848388.83600,28878
1641261600000,2022-01-04 02:00:00,BNB/USDT,506.660,507.730,502.000,505.630,88877.34,44853643.76170,59843
1641258000000,2022-01-04 01:00:00,BNB/USDT,509.200,510.590,506.080,506.660,48126.25,24454610.57190,41947
1641254400000,2022-01-04 00:00:00,BNB/USDT,512.240,513.350,508.000,509.180,59518.44,30397053.86223,44178
1641250800000,2022-01-03 23:00:00,BNB/USDT,513.020,514.570,511.780,512.240,28173.37,14454840.48180,22915
1641247200000,2022-01-03 22:00:00,BNB/USDT,511.620,516.460,511.250,513.020,39823.48,20468143.92440,27887
1641243600000,2022-01-03 21:00:00,BNB/USDT,512.300,514.830,510.610,511.610,47454.92,24322473.50790,30351
1641240000000,2022-01-03 20:00:00,BNB/USDT,514.510,515.350,510.410,512.290,86818.01,44505240.81460,55464
1641236400000,2022-01-03 19:00:00,BNB/USDT,517.300,519.010,514.440,514.520,45403.30,23459117.24826,30078
1641232800000,2022-01-03 18:00:00,BNB/USDT,517.620,519.370,516.500,517.300,44096.38,22834442.87780,30219
1641229200000,2022-01-03 17:00:00,BNB/USDT,520.870,522.660,517.370,517.630,54570.30,28373357.81710,36533
1641225600000,2022-01-03 16:00:00,BNB/USDT,527.350,528.430,520.010,520.880,72857.47,38131703.34689,49659
1641222000000,2022-01-03 15:00:00,BNB/USDT,528.960,530.410,526.540,527.350,28683.91,15156734.67960,22187
1641218400000,2022-01-03 14:00:00,BNB/USDT,531.040,533.000,528.100,528.960,36194.15,19194750.35770,30793
1641214800000,2022-01-03 13:00:00,BNB/USDT,529.360,532.220,529.350,531.030,25173.18,13366793.93180,20303
1641211200000,2022-01-03 12:00:00,BNB/USDT,531.130,532.540,529.300,529.360,31734.24,16845685.04160,25682
1641207600000,2022-01-03 11:00:00,BNB/USDT,527.760,531.980,527.680,531.110,28628.05,15176545.56180,25282
