https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1597939200000,2020-08-20 16:00:00,ADA/USDT,0.13290,0.13310,0.13112,0.13168,15763818,2079473.33432,6198
1597935600000,2020-08-20 15:00:00,ADA/USDT,0.13172,0.13291,0.13128,0.13290,11851457,1564827.76605,5121
1597932000000,2020-08-20 14:00:00,ADA/USDT,0.13179,0.13234,0.13109,0.13172,12424796,1635339.46392,5226
1597928400000,2020-08-20 13:00:00,ADA/USDT,0.13094,0.13248,0.13021,0.13180,29493469,3879429.94081,8969
1597924800000,2020-08-20 12:00:00,ADA/USDT,0.13047,0.13172,0.13020,0.13094,31553485,4134512.72092,9647
1597921200000,2020-08-20 11:00:00,ADA/USDT,0.12891,0.13051,0.12823,0.13042,14009884,1811235.12885,6118
1597917600000,2020-08-20 10:00:00,ADA/USDT,0.12933,0.12945,0.12848,0.12890,11270228,1453503.52145,5067
1597914000000,2020-08-20 09:00:00,ADA/USDT,0.12854,0.12945,0.12811,0.12925,20526380,2643154.19545,7070
1597910400000,2020-08-20 08:00:00,ADA/USDT,0.12750,0.12873,0.12704,0.12853,16492921,2107954.34873,6844
1597906800000,2020-08-20 07:00:00,ADA/USDT,0.12909,0.12940,0.12727,0.12750,21012266,2697203.84139,5839
1597903200000,2020-08-20 06:00:00,ADA/USDT,0.12722,0.13000,0.12632,0.12909,36586120,4701533.36038,10721
1597899600000,2020-08-20 05:00:00,ADA/USDT,0.12901,0.12906,0.12719,0.12723,23318097,2980842.59241,9015
1597896000000,2020-08-20 04:00:00,ADA/USDT,0.12879,0.12961,0.12784,0.12901,17789824,2292775.27261,5660
1597892400000,2020-08-20 03:00:00,ADA/USDT,0.13020,0.13036,0.12862,0.12873,12829968,1661655.55447,5128
1597888800000,2020-08-20 02:00:00,ADA/USDT,0.13086,0.13112,0.12951,0.13015,12771714,1665498.51144,5505
1597885200000,2020-08-20 01:00:00,ADA/USDT,0.13152,0.13190,0.13076,0.13083,10499209,1378947.48257,4371
1597881600000,2020-08-20 00:00:00,ADA/USDT,0.12986,0.13210,0.12986,0.13144,16788305,2199709.43442,6719
1597878000000,2020-08-19 23:00:00,ADA/USDT,0.13037,0.13075,0.12926,0.12986,12135911,1578742.30402,5405
1597874400000,2020-08-19 22:00:00,ADA/USDT,0.12999,0.13156,0.12991,0.13039,16168054,2114685.91007,5318
1597870800000,2020-08-19 21:00:00,ADA/USDT,0.12958,0.13134,0.12958,0.12992,23295269,3039090.06791,7369
1597867200000,2020-08-19 20:00:00,ADA/USDT,0.12870,0.12965,0.12606,0.12957,42153290,5404320.15740,13950
1597863600000,2020-08-19 19:00:00,ADA/USDT,0.13075,0.13106,0.12863,0.12871,26428689,3434030.78434,8068
1597860000000,2020-08-19 18:00:00,ADA/USDT,0.13159,0.13159,0.12940,0.13073,19818834,2585267.26794,8535
1597856400000,2020-08-19 17:00:00,ADA/USDT,0.13118,0.13195,0.13070,0.13159,21786916,2859423.04301,7108
1597852800000,2020-08-19 16:00:00,ADA/USDT,0.13152,0.13211,0.12912,0.13114,38242092,4995234.47661,10327
1597849200000,2020-08-19 15:00:00,ADA/USDT,0.13278,0.13336,0.13071,0.13152,30906635,4073632.37784,10162
1597845600000,2020-08-19 14:00:00,ADA/USDT,0.13323,0.13567,0.13251,0.13291,31139664,4186167.91650,9454
1597842000000,2020-08-19 13:00:00,ADA/USDT,0.13272,0.13393,0.13233,0.13323,13292514,1769733.66771,5215
1597838400000,2020-08-19 12:00:00,ADA/USDT,0.13273,0.13322,0.13184,0.13275,12788493,1693557.85955,5467
1597834800000,2020-08-19 11:00:00,ADA/USDT,0.13301,0.13376,0.13235,0.13274,11184345,1488370.81321,5045
1597831200000,2020-08-19 10:00:00,ADA/USDT,0.13329,0.13366,0.13205,0.13297,13433921,1784054.14529,5424
1597827600000,2020-08-19 09:00:00,ADA/USDT,0.13385,0.13430,0.13311,0.13328,14798023,1980510.20511,5928
1597824000000,2020-08-19 08:00:00,ADA/USDT,0.13335,0.13408,0.13233,0.13382,17523892,2330299.99322,5799
1597820400000,2020-08-19 07:00:00,ADA/USDT,0.13223,0.13380,0.13197,0.13335,21465546,2854851.29018,7329
1597816800000,2020-08-19 06:00:00,ADA/USDT,0.13091,0.13254,0.12924,0.13236,28304466,3702176.81171,9405
1597813200000,2020-08-19 05:00:00,ADA/USDT,0.13179,0.13259,0.13026,0.13095,33055720,4342360.25000,8867
1597809600000,2020-08-19 04:00:00,ADA/USDT,0.13193,0.13353,0.12780,0.13179,63800126,8328832.72234,15193
1597806000000,2020-08-19 03:00:00,ADA/USDT,0.13509,0.13551,0.13128,0.13192,34228476,4563805.90918,11171
1597802400000,2020-08-19 02:00:00,ADA/USDT,0.13707,0.13731,0.13467,0.13510,21176812,2874348.21604,7482
1597798800000,2020-08-19 01:00:00,ADA/USDT,0.13730,0.13867,0.13684,0.13708,8843004,1217912.66994,5221
1597795200000,2020-08-19 00:00:00,ADA/USDT,0.13707,0.13764,0.13645,0.13728,10005164,1372611.46448,4889
1597791600000,2020-08-18 23:00:00,ADA/USDT,0.13746,0.13769,0.13662,0.13706,10955428,1502091.89909,5121
1597788000000,2020-08-18 22:00:00,ADA/USDT,0.13809,0.13856,0.13737,0.13746,8927173,1231489.80140,4199
1597784400000,2020-08-18 21:00:00,ADA/USDT,0.13802,0.13868,0.13765,0.13812,10633171,1470054.82971,4427
1597780800000,2020-08-18 20:00:00,ADA/USDT,0.13719,0.13813,0.13719,0.13802,12351844,1700442.27927,5670
1597777200000,2020-08-18 19:00:00,ADA/USDT,0.13659,0.13793,0.13650,0.13721,8313222,1141797.51916,3834
1597773600000,2020-08-18 18:00:00,ADA/USDT,0.13706,0.13749,0.13656,0.13660,7201595,986390.68621,4278
1597770000000,2020-08-18 17:00:00,ADA/USDT,0.13728,0.13807,0.13692,0.13706,8333454,1145600.01221,5175
1597766400000,2020-08-18 16:00:00,ADA/USDT,0.13611,0.13784,0.13580,0.13729,17072464,2340190.11387,6587
1597762800000,2020-08-18 15:00:00,ADA/USDT,0.13655,0.13763,0.13538,0.13614,22891391,3127465.23134,6692
1597759200000,2020-08-18 14:00:00,ADA/USDT,0.13626,0.13757,0.13407,0.13660,38353981,5215620.90985,11461
1597755600000,2020-08-18 13:00:00,ADA/USDT,0.13896,0.13908,0.13367,0.13626,45665806,6226999.00044,11622
1597752000000,2020-08-18 12:00:00,ADA/USDT,0.13748,0.13896,0.13723,0.13896,24468400,3381039.22226,7123
1597748400000,2020-08-18 11:00:00,ADA/USDT,0.14069,0.14073,0.13722,0.13748,32660716,4543555.73989,10900
1597744800000,2020-08-18 10:00:00,ADA/USDT,0.14023,0.14120,0.14005,0.14060,11219103,1576852.01693,4617
1597741200000,2020-08-18 09:00:00,ADA/USDT,0.14053,0.14078,0.14007,0.14021,11349855,1593236.87923,4032
1597737600000,2020-08-18 08:00:00,ADA/USDT,0.14040,0.14144,0.14039,0.14050,12245328,1725276.00259,4807
1597734000000,2020-08-18 07:00:00,ADA/USDT,0.14083,0.14106,0.14006,0.14040,9535584,1340000.46082,4102
1597730400000,2020-08-18 06:00:00,ADA/USDT,0.14120,0.14165,0.14000,0.14087,23726867,3340366.27054,6350
1597726800000,2020-08-18 05:00:00,ADA/USDT,0.14114,0.14211,0.14049,0.14123,15066478,2128139.66348,5428
1597723200000,2020-08-18 04:00:00,ADA/USDT,0.14190,0.14257,0.14079,0.14114,13165853,1864670.27408,5303
1597719600000,2020-08-18 03:00:00,ADA/USDT,0.14264,0.14271,0.14120,0.14189,12486254,1772435.48497,4977
1597716000000,2020-08-18 02:00:00,ADA/USDT,0.14331,0.14333,0.14250,0.14270,13119139,1873783.50321,5147
1597712400000,2020-08-18 01:00:00,ADA/USDT,0.14188,0.14435,0.14175,0.14331,21716910,3106397.26814,7808
